[[{'label': 'negative', 'score': 0.013476000167429447}, {'label': 'neutral', 'score': 0.4485049843788147}, {'label': 'positive', 'score': 0.538019061088562}]]
[[{'label': 'negative', 'score': 0.2544853389263153}, {'label': 'neutral', 'score': 0.27549153566360474}, {'label': 'positive', 'score': 0.47002312541007996}]]
[[{'label': 'negative', 'score': 0.006719059776514769}, {'label': 'neutral', 'score': 0.02072352170944214}, {'label': 'positive', 'score': 0.9725573658943176}]]
[[{'label': 'negative', 'score': 0.5726364850997925}, {'label': 'neutral', 'score': 0.41412976384162903}, {'label': 'positive', 'score': 0.013233684934675694}]]
[[{'label': 'negative', 'score': 0.6727137565612793}, {'label': 'neutral', 'score': 0.25938037037849426}, {'label': 'positive', 'score': 0.06790588796138763}]]
[[{'label': 'negative', 'score': 0.030567949637770653}, {'label': 'neutral', 'score': 0.9458352327346802}, {'label': 'positive', 'score': 0.023596804589033127}]]
[[{'label': 'negative', 'score': 0.008619214408099651}, {'label': 'neutral', 'score': 0.19789674878120422}, {'label': 'positive', 'score': 0.7934839725494385}]]
[[{'label': 'negative', 'score': 0.9497389197349548}, {'label': 'neutral', 'score': 0.042950477451086044}, {'label': 'positive', 'score': 0.007310551591217518}]]
[[{'label': 'negative', 'score': 0.08039027452468872}, {'label': 'neutral', 'score': 0.5487806797027588}, {'label': 'positive', 'score': 0.3708290159702301}]]
[[{'label': 'negative', 'score': 0.6856285929679871}, {'label': 'neutral', 'score': 0.30245786905288696}, {'label': 'positive', 'score': 0.011913511902093887}]]
[[{'label': 'negative', 'score': 0.787239670753479}, {'label': 'neutral', 'score': 0.19218289852142334}, {'label': 'positive', 'score': 0.020577415823936462}]]
[[{'label': 'negative', 'score': 0.03704921528697014}, {'label': 'neutral', 'score': 0.3730143904685974}, {'label': 'positive', 'score': 0.5899364352226257}]]
[[{'label': 'negative', 'score': 0.5892077684402466}, {'label': 'neutral', 'score': 0.3785201907157898}, {'label': 'positive', 'score': 0.03227211534976959}]]
[[{'label': 'negative', 'score': 0.8605750799179077}, {'label': 'neutral', 'score': 0.12547726929187775}, {'label': 'positive', 'score': 0.013947653584182262}]]
[[{'label': 'negative', 'score': 0.01070909108966589}, {'label': 'neutral', 'score': 0.07694236934185028}, {'label': 'positive', 'score': 0.9123485684394836}]]
[[{'label': 'negative', 'score': 0.6091434359550476}, {'label': 'neutral', 'score': 0.3638335168361664}, {'label': 'positive', 'score': 0.027023032307624817}]]
[[{'label': 'negative', 'score': 0.10688934475183487}, {'label': 'neutral', 'score': 0.8301423192024231}, {'label': 'positive', 'score': 0.0629684254527092}]]
[[{'label': 'negative', 'score': 0.9263837933540344}, {'label': 'neutral', 'score': 0.06538217514753342}, {'label': 'positive', 'score': 0.00823407806456089}]]
[[{'label': 'negative', 'score': 0.7686522603034973}, {'label': 'neutral', 'score': 0.22027328610420227}, {'label': 'positive', 'score': 0.011074499227106571}]]
[[{'label': 'negative', 'score': 0.9416213631629944}, {'label': 'neutral', 'score': 0.05157414451241493}, {'label': 'positive', 'score': 0.006804507225751877}]]
[[{'label': 'negative', 'score': 0.8739144802093506}, {'label': 'neutral', 'score': 0.1188870295882225}, {'label': 'positive', 'score': 0.0071985130198299885}]]
[[{'label': 'negative', 'score': 0.13383693993091583}, {'label': 'neutral', 'score': 0.7397876381874084}, {'label': 'positive', 'score': 0.12637543678283691}]]
[[{'label': 'negative', 'score': 0.7839844226837158}, {'label': 'neutral', 'score': 0.19619512557983398}, {'label': 'positive', 'score': 0.01982046477496624}]]
[[{'label': 'negative', 'score': 0.18706153333187103}, {'label': 'neutral', 'score': 0.7567203640937805}, {'label': 'positive', 'score': 0.05621800944209099}]]
[[{'label': 'negative', 'score': 0.4784620404243469}, {'label': 'neutral', 'score': 0.455912709236145}, {'label': 'positive', 'score': 0.06562520563602448}]]
[[{'label': 'negative', 'score': 0.7621428966522217}, {'label': 'neutral', 'score': 0.22113484144210815}, {'label': 'positive', 'score': 0.01672227494418621}]]
[[{'label': 'negative', 'score': 0.5340539216995239}, {'label': 'neutral', 'score': 0.43996545672416687}, {'label': 'positive', 'score': 0.025980619713664055}]]
[[{'label': 'negative', 'score': 0.4827190637588501}, {'label': 'neutral', 'score': 0.49306055903434753}, {'label': 'positive', 'score': 0.02422035112977028}]]
[[{'label': 'negative', 'score': 0.03180145099759102}, {'label': 'neutral', 'score': 0.7738719582557678}, {'label': 'positive', 'score': 0.19432663917541504}]]
[[{'label': 'negative', 'score': 0.8371989727020264}, {'label': 'neutral', 'score': 0.15313081443309784}, {'label': 'positive', 'score': 0.009670254774391651}]]
[[{'label': 'negative', 'score': 0.043966617435216904}, {'label': 'neutral', 'score': 0.9001068472862244}, {'label': 'positive', 'score': 0.05592646822333336}]]
[[{'label': 'negative', 'score': 0.0036362777464091778}, {'label': 'neutral', 'score': 0.018309563398361206}, {'label': 'positive', 'score': 0.9780541658401489}]]
[[{'label': 'negative', 'score': 0.9290090799331665}, {'label': 'neutral', 'score': 0.05962841212749481}, {'label': 'positive', 'score': 0.011362574994564056}]]
[[{'label': 'negative', 'score': 0.3613600432872772}, {'label': 'neutral', 'score': 0.6019763946533203}, {'label': 'positive', 'score': 0.03666359931230545}]]
[[{'label': 'negative', 'score': 0.009521863423287868}, {'label': 'neutral', 'score': 0.8342128396034241}, {'label': 'positive', 'score': 0.15626530349254608}]]
[[{'label': 'negative', 'score': 0.7425839900970459}, {'label': 'neutral', 'score': 0.2288610190153122}, {'label': 'positive', 'score': 0.028555046766996384}]]
[[{'label': 'negative', 'score': 0.5876374840736389}, {'label': 'neutral', 'score': 0.3576771020889282}, {'label': 'positive', 'score': 0.05468538776040077}]]
[[{'label': 'negative', 'score': 0.8101842403411865}, {'label': 'neutral', 'score': 0.17377017438411713}, {'label': 'positive', 'score': 0.01604558899998665}]]
[[{'label': 'negative', 'score': 0.7697750926017761}, {'label': 'neutral', 'score': 0.20504891872406006}, {'label': 'positive', 'score': 0.025176018476486206}]]
[[{'label': 'negative', 'score': 0.5546858310699463}, {'label': 'neutral', 'score': 0.42516735196113586}, {'label': 'positive', 'score': 0.020146796479821205}]]
[[{'label': 'negative', 'score': 0.008060624822974205}, {'label': 'neutral', 'score': 0.15305495262145996}, {'label': 'positive', 'score': 0.8388844728469849}]]
[[{'label': 'negative', 'score': 0.040757060050964355}, {'label': 'neutral', 'score': 0.7171145081520081}, {'label': 'positive', 'score': 0.2421284317970276}]]
[[{'label': 'negative', 'score': 0.07169061154127121}, {'label': 'neutral', 'score': 0.5972514152526855}, {'label': 'positive', 'score': 0.33105799555778503}]]
[[{'label': 'negative', 'score': 0.08384938538074493}, {'label': 'neutral', 'score': 0.8532394170761108}, {'label': 'positive', 'score': 0.06291116774082184}]]
[[{'label': 'negative', 'score': 0.8153937458992004}, {'label': 'neutral', 'score': 0.17145241796970367}, {'label': 'positive', 'score': 0.013153820298612118}]]
[[{'label': 'negative', 'score': 0.00923915859311819}, {'label': 'neutral', 'score': 0.055279456079006195}, {'label': 'positive', 'score': 0.9354813098907471}]]
[[{'label': 'negative', 'score': 0.0026234271936118603}, {'label': 'neutral', 'score': 0.0678245946764946}, {'label': 'positive', 'score': 0.9295519590377808}]]
[[{'label': 'negative', 'score': 0.0040015121921896935}, {'label': 'neutral', 'score': 0.013352330774068832}, {'label': 'positive', 'score': 0.9826462268829346}]]
[[{'label': 'negative', 'score': 0.8685358166694641}, {'label': 'neutral', 'score': 0.12075202167034149}, {'label': 'positive', 'score': 0.010712196119129658}]]
[[{'label': 'negative', 'score': 0.4014393985271454}, {'label': 'neutral', 'score': 0.5804290175437927}, {'label': 'positive', 'score': 0.01813158020377159}]]
[[{'label': 'negative', 'score': 0.7596114277839661}, {'label': 'neutral', 'score': 0.23087981343269348}, {'label': 'positive', 'score': 0.009508754126727581}]]
[[{'label': 'negative', 'score': 0.013826309703290462}, {'label': 'neutral', 'score': 0.3451923131942749}, {'label': 'positive', 'score': 0.6409813761711121}]]
[[{'label': 'negative', 'score': 0.01452499721199274}, {'label': 'neutral', 'score': 0.060299020260572433}, {'label': 'positive', 'score': 0.9251760244369507}]]
[[{'label': 'negative', 'score': 0.8925888538360596}, {'label': 'neutral', 'score': 0.09678127616643906}, {'label': 'positive', 'score': 0.01062989141792059}]]
[[{'label': 'negative', 'score': 0.9195935726165771}, {'label': 'neutral', 'score': 0.06989911943674088}, {'label': 'positive', 'score': 0.010507287457585335}]]
[[{'label': 'negative', 'score': 0.01615571416914463}, {'label': 'neutral', 'score': 0.24891601502895355}, {'label': 'positive', 'score': 0.7349282503128052}]]
[[{'label': 'negative', 'score': 0.5148547887802124}, {'label': 'neutral', 'score': 0.15023474395275116}, {'label': 'positive', 'score': 0.33491051197052}]]
[[{'label': 'negative', 'score': 0.16164658963680267}, {'label': 'neutral', 'score': 0.7494242787361145}, {'label': 'positive', 'score': 0.08892913907766342}]]
[[{'label': 'negative', 'score': 0.005068289581686258}, {'label': 'neutral', 'score': 0.0467618927359581}, {'label': 'positive', 'score': 0.9481697678565979}]]
[[{'label': 'negative', 'score': 0.4055013060569763}, {'label': 'neutral', 'score': 0.36370566487312317}, {'label': 'positive', 'score': 0.23079298436641693}]]
[[{'label': 'negative', 'score': 0.059229813516139984}, {'label': 'neutral', 'score': 0.7361364364624023}, {'label': 'positive', 'score': 0.20463374257087708}]]
[[{'label': 'negative', 'score': 0.17164289951324463}, {'label': 'neutral', 'score': 0.7002547383308411}, {'label': 'positive', 'score': 0.12810231745243073}]]
[[{'label': 'negative', 'score': 0.869681179523468}, {'label': 'neutral', 'score': 0.12279859930276871}, {'label': 'positive', 'score': 0.007520170882344246}]]
[[{'label': 'negative', 'score': 0.7238699793815613}, {'label': 'neutral', 'score': 0.2348373532295227}, {'label': 'positive', 'score': 0.04129264876246452}]]
[[{'label': 'negative', 'score': 0.21174073219299316}, {'label': 'neutral', 'score': 0.6915396451950073}, {'label': 'positive', 'score': 0.09671967476606369}]]
[[{'label': 'negative', 'score': 0.9229096174240112}, {'label': 'neutral', 'score': 0.06979498267173767}, {'label': 'positive', 'score': 0.007295372895896435}]]
[[{'label': 'negative', 'score': 0.006129467859864235}, {'label': 'neutral', 'score': 0.020362475886940956}, {'label': 'positive', 'score': 0.9735080599784851}]]
[[{'label': 'negative', 'score': 0.006094657815992832}, {'label': 'neutral', 'score': 0.7392781972885132}, {'label': 'positive', 'score': 0.25462716817855835}]]
[[{'label': 'negative', 'score': 0.047076642513275146}, {'label': 'neutral', 'score': 0.7537552118301392}, {'label': 'positive', 'score': 0.1991681158542633}]]
[[{'label': 'negative', 'score': 0.8149054050445557}, {'label': 'neutral', 'score': 0.16990143060684204}, {'label': 'positive', 'score': 0.015193166211247444}]]
[[{'label': 'negative', 'score': 0.2775667607784271}, {'label': 'neutral', 'score': 0.6011946797370911}, {'label': 'positive', 'score': 0.12123852968215942}]]
[[{'label': 'negative', 'score': 0.9337556958198547}, {'label': 'neutral', 'score': 0.06056508421897888}, {'label': 'positive', 'score': 0.005679307505488396}]]
[[{'label': 'negative', 'score': 0.19961732625961304}, {'label': 'neutral', 'score': 0.5729332566261292}, {'label': 'positive', 'score': 0.2274494469165802}]]
[[{'label': 'negative', 'score': 0.15406839549541473}, {'label': 'neutral', 'score': 0.7281206250190735}, {'label': 'positive', 'score': 0.11781097203493118}]]
[[{'label': 'negative', 'score': 0.0119544118642807}, {'label': 'neutral', 'score': 0.4127323031425476}, {'label': 'positive', 'score': 0.5753132700920105}]]
[[{'label': 'negative', 'score': 0.8698768615722656}, {'label': 'neutral', 'score': 0.1187012791633606}, {'label': 'positive', 'score': 0.011421841569244862}]]
[[{'label': 'negative', 'score': 0.054022908210754395}, {'label': 'neutral', 'score': 0.09026660025119781}, {'label': 'positive', 'score': 0.855710506439209}]]
[[{'label': 'negative', 'score': 0.12383592873811722}, {'label': 'neutral', 'score': 0.7277271151542664}, {'label': 'positive', 'score': 0.14843693375587463}]]
[[{'label': 'negative', 'score': 0.6034696698188782}, {'label': 'neutral', 'score': 0.3541465699672699}, {'label': 'positive', 'score': 0.04238379746675491}]]
[[{'label': 'negative', 'score': 0.751189112663269}, {'label': 'neutral', 'score': 0.23316466808319092}, {'label': 'positive', 'score': 0.01564623787999153}]]
[[{'label': 'negative', 'score': 0.18436680734157562}, {'label': 'neutral', 'score': 0.14379796385765076}, {'label': 'positive', 'score': 0.67183518409729}]]
[[{'label': 'negative', 'score': 0.0017236771527677774}, {'label': 'neutral', 'score': 0.03330997750163078}, {'label': 'positive', 'score': 0.964966356754303}]]
[[{'label': 'negative', 'score': 0.0026025378610938787}, {'label': 'neutral', 'score': 0.010498247109353542}, {'label': 'positive', 'score': 0.9868992567062378}]]
[[{'label': 'negative', 'score': 0.39353424310684204}, {'label': 'neutral', 'score': 0.5896856784820557}, {'label': 'positive', 'score': 0.016780130565166473}]]
[[{'label': 'negative', 'score': 0.09018241614103317}, {'label': 'neutral', 'score': 0.8113235235214233}, {'label': 'positive', 'score': 0.09849411994218826}]]
[[{'label': 'negative', 'score': 0.8651638627052307}, {'label': 'neutral', 'score': 0.12303909659385681}, {'label': 'positive', 'score': 0.01179707981646061}]]
[[{'label': 'negative', 'score': 0.12222602218389511}, {'label': 'neutral', 'score': 0.8045749068260193}, {'label': 'positive', 'score': 0.07319909334182739}]]
[[{'label': 'negative', 'score': 0.5382446646690369}, {'label': 'neutral', 'score': 0.44318506121635437}, {'label': 'positive', 'score': 0.018570298328995705}]]
[[{'label': 'negative', 'score': 0.6773253083229065}, {'label': 'neutral', 'score': 0.28616034984588623}, {'label': 'positive', 'score': 0.036514345556497574}]]
[[{'label': 'negative', 'score': 0.05483776330947876}, {'label': 'neutral', 'score': 0.4164895713329315}, {'label': 'positive', 'score': 0.5286726951599121}]]
[[{'label': 'negative', 'score': 0.019972428679466248}, {'label': 'neutral', 'score': 0.8964031338691711}, {'label': 'positive', 'score': 0.08362443000078201}]]
[[{'label': 'negative', 'score': 0.8656318783760071}, {'label': 'neutral', 'score': 0.12556041777133942}, {'label': 'positive', 'score': 0.00880769919604063}]]
[[{'label': 'negative', 'score': 0.0028326434548944235}, {'label': 'neutral', 'score': 0.0075558628886938095}, {'label': 'positive', 'score': 0.9896115064620972}]]
[[{'label': 'negative', 'score': 0.0023935609497129917}, {'label': 'neutral', 'score': 0.02829267829656601}, {'label': 'positive', 'score': 0.9693137407302856}]]
[[{'label': 'negative', 'score': 0.043232303112745285}, {'label': 'neutral', 'score': 0.16809624433517456}, {'label': 'positive', 'score': 0.7886714935302734}]]
[[{'label': 'negative', 'score': 0.9100769758224487}, {'label': 'neutral', 'score': 0.0845184326171875}, {'label': 'positive', 'score': 0.00540468143299222}]]
[[{'label': 'negative', 'score': 0.9281747937202454}, {'label': 'neutral', 'score': 0.06033752113580704}, {'label': 'positive', 'score': 0.01148772332817316}]]
[[{'label': 'negative', 'score': 0.5337100028991699}, {'label': 'neutral', 'score': 0.4013815224170685}, {'label': 'positive', 'score': 0.0649084821343422}]]
[[{'label': 'negative', 'score': 0.006004744675010443}, {'label': 'neutral', 'score': 0.41724222898483276}, {'label': 'positive', 'score': 0.5767530202865601}]]
[[{'label': 'negative', 'score': 0.7053697109222412}, {'label': 'neutral', 'score': 0.17078161239624023}, {'label': 'positive', 'score': 0.12384864687919617}]]
[[{'label': 'negative', 'score': 0.35621511936187744}, {'label': 'neutral', 'score': 0.40432772040367126}, {'label': 'positive', 'score': 0.2394571751356125}]]
[[{'label': 'negative', 'score': 0.08176121860742569}, {'label': 'neutral', 'score': 0.47619250416755676}, {'label': 'positive', 'score': 0.44204628467559814}]]
[[{'label': 'negative', 'score': 0.9179615378379822}, {'label': 'neutral', 'score': 0.06783465296030045}, {'label': 'positive', 'score': 0.014203895814716816}]]
[[{'label': 'negative', 'score': 0.006081382278352976}, {'label': 'neutral', 'score': 0.12900850176811218}, {'label': 'positive', 'score': 0.8649101853370667}]]
[[{'label': 'negative', 'score': 0.8804848194122314}, {'label': 'neutral', 'score': 0.11256646364927292}, {'label': 'positive', 'score': 0.006948654539883137}]]
[[{'label': 'negative', 'score': 0.5826656222343445}, {'label': 'neutral', 'score': 0.4001743197441101}, {'label': 'positive', 'score': 0.017159998416900635}]]
[[{'label': 'negative', 'score': 0.1166098341345787}, {'label': 'neutral', 'score': 0.3173169493675232}, {'label': 'positive', 'score': 0.5660732388496399}]]
[[{'label': 'negative', 'score': 0.006955012679100037}, {'label': 'neutral', 'score': 0.014134353958070278}, {'label': 'positive', 'score': 0.9789106249809265}]]
[[{'label': 'negative', 'score': 0.016036439687013626}, {'label': 'neutral', 'score': 0.688504695892334}, {'label': 'positive', 'score': 0.2954587936401367}]]
[[{'label': 'negative', 'score': 0.8579131364822388}, {'label': 'neutral', 'score': 0.13455156981945038}, {'label': 'positive', 'score': 0.007535245735198259}]]
[[{'label': 'negative', 'score': 0.47870898246765137}, {'label': 'neutral', 'score': 0.39715465903282166}, {'label': 'positive', 'score': 0.12413639575242996}]]
[[{'label': 'negative', 'score': 0.7185192108154297}, {'label': 'neutral', 'score': 0.23739808797836304}, {'label': 'positive', 'score': 0.044082771986722946}]]
[[{'label': 'negative', 'score': 0.8634649515151978}, {'label': 'neutral', 'score': 0.12835723161697388}, {'label': 'positive', 'score': 0.008177784271538258}]]
[[{'label': 'negative', 'score': 0.0968560203909874}, {'label': 'neutral', 'score': 0.4660932421684265}, {'label': 'positive', 'score': 0.4370507597923279}]]
[[{'label': 'negative', 'score': 0.17306794226169586}, {'label': 'neutral', 'score': 0.6810450553894043}, {'label': 'positive', 'score': 0.14588698744773865}]]
[[{'label': 'negative', 'score': 0.009282871149480343}, {'label': 'neutral', 'score': 0.17393538355827332}, {'label': 'positive', 'score': 0.8167816996574402}]]
[[{'label': 'negative', 'score': 0.01680893264710903}, {'label': 'neutral', 'score': 0.7719042301177979}, {'label': 'positive', 'score': 0.21128684282302856}]]
[[{'label': 'negative', 'score': 0.7900332808494568}, {'label': 'neutral', 'score': 0.1741698533296585}, {'label': 'positive', 'score': 0.03579684719443321}]]
[[{'label': 'negative', 'score': 0.04526802524924278}, {'label': 'neutral', 'score': 0.771506667137146}, {'label': 'positive', 'score': 0.1832253634929657}]]
[[{'label': 'negative', 'score': 0.008147223852574825}, {'label': 'neutral', 'score': 0.09555540233850479}, {'label': 'positive', 'score': 0.8962973356246948}]]
[[{'label': 'negative', 'score': 0.6972618103027344}, {'label': 'neutral', 'score': 0.28528255224227905}, {'label': 'positive', 'score': 0.017455624416470528}]]
[[{'label': 'negative', 'score': 0.8229155540466309}, {'label': 'neutral', 'score': 0.16138336062431335}, {'label': 'positive', 'score': 0.015701066702604294}]]
[[{'label': 'negative', 'score': 0.021671317517757416}, {'label': 'neutral', 'score': 0.058635663241147995}, {'label': 'positive', 'score': 0.9196929931640625}]]
[[{'label': 'negative', 'score': 0.2063174843788147}, {'label': 'neutral', 'score': 0.7235755920410156}, {'label': 'positive', 'score': 0.07010693848133087}]]
[[{'label': 'negative', 'score': 0.764083206653595}, {'label': 'neutral', 'score': 0.17876611649990082}, {'label': 'positive', 'score': 0.05715074762701988}]]
[[{'label': 'negative', 'score': 0.020847350358963013}, {'label': 'neutral', 'score': 0.3917367160320282}, {'label': 'positive', 'score': 0.587415874004364}]]
[[{'label': 'negative', 'score': 0.749953031539917}, {'label': 'neutral', 'score': 0.23474529385566711}, {'label': 'positive', 'score': 0.015301646664738655}]]
[[{'label': 'negative', 'score': 0.0432809442281723}, {'label': 'neutral', 'score': 0.14831764996051788}, {'label': 'positive', 'score': 0.808401346206665}]]
[[{'label': 'negative', 'score': 0.8930971622467041}, {'label': 'neutral', 'score': 0.09743033349514008}, {'label': 'positive', 'score': 0.009472597390413284}]]
[[{'label': 'negative', 'score': 0.9307414293289185}, {'label': 'neutral', 'score': 0.06441547721624374}, {'label': 'positive', 'score': 0.004843051079660654}]]
[[{'label': 'negative', 'score': 0.015613095834851265}, {'label': 'neutral', 'score': 0.9115710854530334}, {'label': 'positive', 'score': 0.07281582057476044}]]
[[{'label': 'negative', 'score': 0.8952847123146057}, {'label': 'neutral', 'score': 0.08911970257759094}, {'label': 'positive', 'score': 0.015595550648868084}]]
[[{'label': 'negative', 'score': 0.08900287747383118}, {'label': 'neutral', 'score': 0.5205342769622803}, {'label': 'positive', 'score': 0.39046287536621094}]]
[[{'label': 'negative', 'score': 0.4053172767162323}, {'label': 'neutral', 'score': 0.5430145859718323}, {'label': 'positive', 'score': 0.05166815593838692}]]
[[{'label': 'negative', 'score': 0.3867282271385193}, {'label': 'neutral', 'score': 0.5812422633171082}, {'label': 'positive', 'score': 0.03202946111559868}]]
[[{'label': 'negative', 'score': 0.0025895009748637676}, {'label': 'neutral', 'score': 0.036362458020448685}, {'label': 'positive', 'score': 0.9610480666160583}]]
[[{'label': 'negative', 'score': 0.00997047871351242}, {'label': 'neutral', 'score': 0.1288030743598938}, {'label': 'positive', 'score': 0.8612264394760132}]]
[[{'label': 'negative', 'score': 0.7495214343070984}, {'label': 'neutral', 'score': 0.24151794612407684}, {'label': 'positive', 'score': 0.008960678242146969}]]
[[{'label': 'negative', 'score': 0.0030981209129095078}, {'label': 'neutral', 'score': 0.03516187146306038}, {'label': 'positive', 'score': 0.9617400169372559}]]
[[{'label': 'negative', 'score': 0.010961241088807583}, {'label': 'neutral', 'score': 0.032732393592596054}, {'label': 'positive', 'score': 0.9563063979148865}]]
[[{'label': 'negative', 'score': 0.8597201108932495}, {'label': 'neutral', 'score': 0.1243758574128151}, {'label': 'positive', 'score': 0.015904128551483154}]]
[[{'label': 'negative', 'score': 0.3518199920654297}, {'label': 'neutral', 'score': 0.5717474222183228}, {'label': 'positive', 'score': 0.07643257826566696}]]
[[{'label': 'negative', 'score': 0.03892754018306732}, {'label': 'neutral', 'score': 0.6574917435646057}, {'label': 'positive', 'score': 0.30358070135116577}]]
[[{'label': 'negative', 'score': 0.017217835411429405}, {'label': 'neutral', 'score': 0.24541722238063812}, {'label': 'positive', 'score': 0.7373649477958679}]]
[[{'label': 'negative', 'score': 0.00843007117509842}, {'label': 'neutral', 'score': 0.27140679955482483}, {'label': 'positive', 'score': 0.720163106918335}]]
[[{'label': 'negative', 'score': 0.20390906929969788}, {'label': 'neutral', 'score': 0.7115265727043152}, {'label': 'positive', 'score': 0.08456437289714813}]]
[[{'label': 'negative', 'score': 0.19205939769744873}, {'label': 'neutral', 'score': 0.5649061799049377}, {'label': 'positive', 'score': 0.24303443729877472}]]
[[{'label': 'negative', 'score': 0.12713558971881866}, {'label': 'neutral', 'score': 0.8222416639328003}, {'label': 'positive', 'score': 0.050622861832380295}]]
[[{'label': 'negative', 'score': 0.0450492687523365}, {'label': 'neutral', 'score': 0.809296727180481}, {'label': 'positive', 'score': 0.1456541121006012}]]
[[{'label': 'negative', 'score': 0.12156794965267181}, {'label': 'neutral', 'score': 0.7603644728660583}, {'label': 'positive', 'score': 0.11806754767894745}]]
[[{'label': 'negative', 'score': 0.42087462544441223}, {'label': 'neutral', 'score': 0.5457848906517029}, {'label': 'positive', 'score': 0.033340465277433395}]]
[[{'label': 'negative', 'score': 0.035627469420433044}, {'label': 'neutral', 'score': 0.9441214799880981}, {'label': 'positive', 'score': 0.020251110196113586}]]
